prompt	answer
дэлгэцийн	дэлгэц <gen>
үлдэгдлээ	үлдэгдэл <voc>
халамжийг	халамж <acc>
нуурт	нуур <dat>
лакт	лак <dat>
эгнээнд	эгнээ <dat>
үрлэгээс	үрлэг <abl>
орцод	орц <dat>
ялагчаа	ялагч <voc>
аалзанд	аалз <dat>
үндэстэй	үндэс <com>
хэрэгцээгээ	хэрэгцээ <voc>
сонирхогчид	сонирхогчийн <dat>
махчинтай	махчин <com>
солонготой	солонго <com>
зурвасаар	зурвас <ins>
продакшнд	продакшн <dat>
түлээчний	түлээчин <gen>
хувьсагчид	хувьсагч <dat>
бутралаар	бутрал <ins>
бичвэрийг	бичвэр <acc>
хакертай	хакер <com>
хараалын	хараал <gen>
бутыг	бут <acc>
алдагдлаар	алдагдал <ins>
үрлийн	үрэл <gen>
банкийг	банк <acc>
тоншуултай	тоншуул <com>
салбараар	салбар <ins>
физиологиор	физиологи <ins>
тасралд	тасрал <dat>
шөлнөөс	шөл <abl>
таарамжийг	таарамж <acc>
ургацаа	ургац <voc>
углаашаар	углааш <ins>
шинэчлэлээ	шинэчлэл <voc>
мяндастай	мяндас <com>
туйлтай	туйлын <com>
жатгаа	жатга <voc>
толгойлогчийг	толгойлогч <acc>
олборлолтын	олборлолт <gen>
урцанд	урц <dat>
хойгоо	хойг <voc>
хөхөвчөөс	хөхөвч <abl>
зураглалын	зураглал <gen>
нягтралаас	нягтрал <abl>
ижилслийг	ижилсэл <acc>
сонинд	сонин <dat>
системээс	систем <abl>
байгууллагын	байгууллага <gen>
чийгшлээ	чийгшил <voc>
шүтээнийг	шүтээн <acc>
харамсалтай	харамсал <com>
эшлэлээс	эшлэл <abl>
бүтэлгүйтлээ	бүтэлгүйтэл <voc>
дэвүүрийн	дэвүүр <gen>
алиалагчид	алиалагч <dat>
шөрмөсөөр	шөрмөс <ins>
айлчлалд	айлчлал <dat>
программын	программ <gen>
харуулыг	харуул <acc>
алдагдлаас	алдагдал <abl>
зараатай	зараа <com>
өгүүлэгдэхүүнээс	өгүүлэгдэхүүн <abl>
эгнээнээс	эгнээ <abl>
удмыг	удам <acc>
статистикаас	статистик <abl>
дуулаачаас	дуулаач <abl>
савлуурыг	савлуур <acc>
дууны	дуу <gen>
солиоролд	солиорол <dat>
эхтэй	эх <com>
хавартай	хавар <com>
хэмжээгээ	хэмжээ <voc>
дарааг	дараа <acc>
гуятай	гуя <com>
тэмтрүүлээс	тэмтрүүл <abl>
оршлын	оршил <gen>
бүтээлгийн	бүтээлэг <gen>
наймаачнаар	наймаачин <ins>
шимтгэлийн	шимтгэл <gen>
хормойн	хормой <gen>
салаар	сал <ins>
курсээс	курс <abl>
биеэр	бие <ins>
аваргад	аварга <dat>
суултууртай	суултуур <com>
нидрүүлэгт	нидрүүлэг <dat>
хамсаатны	хамсаатан <gen>
жимийг	жим <acc>
мэдээлэлд	мэдээлэл <dat>
ажлаас	ажил <abl>
гуаг	гуа <acc>
гурилыг	гурил <acc>
оргодлоо	оргодол <voc>
эринээр	эрин <ins>
шоргоолжоо	шоргоолж <voc>
тосгоноор	тосгон <ins>
мансуурлын	мансуурал <gen>
худалдагчаас	худалдагч <abl>
ардчиллаа	ардчилал <voc>
хошуучлагчаас	хошуучлагч <abl>
микробиологийг	микробиологи <acc>
сэлмээ	сэлэм <voc>
андгайг	андгай <acc>
байгууламжийн	байгууламж <gen>
үргэлжлэлтэй	үргэлжлэл <com>
коммунизмтой	коммунизм <com>
гунигаа	гуниг <voc>
яамаар	яам <ins>
завхайрлаар	завхайрал <ins>
жадыг	жад <acc>
киногоор	кино <ins>
эгнээтэй	эгнээ <com>
хагаралд	хагарал <dat>
гадаргын	гадарга <gen>
логикт	логик <dat>
тамтай	там <com>
давхаргаас	давхарга <abl>
үйлээ	үйл <voc>
булшинд	булш <dat>
бэлтгэлээ	бэлтгэл <voc>
чийгшилтэй	чийгшил <com>
танктай	танк <com>
зөвлөлөө	зөвлөл <voc>
хэрчдэсээр	хэрчдэс <ins>
жимсний	жимс <gen>
шургаар	шураг <ins>
оёдлоо	оёдол <voc>
хөлгийн	хөлөг <gen>
өртэй	өр <com>
цэрийг	цэр <acc>
номлолоос	номлол <abl>
усны	ус <gen>
бухимдлыг	бухимдал <acc>
үндэслэлд	үндэслэл <dat>
эвлэрүүлэгчээс	эвлэрүүлэгч <abl>
чивчүүрээ	чивчүүр <voc>
ятгалгаас	ятгалга <abl>
гарчгийг	гарчиг <acc>
тохируулгын	тохируулга <gen>
мөрдөгчийг	мөрдөгч <acc>
эзэмшигчээ	эзэмшигч <voc>
шүүрлээс	шүүрэл <abl>
лоозонгоор	лоозон <ins>
захиргааны	захиргаа <gen>
гадаргуутай	гадаргуу <com>
гөлгийг	гөлөг <acc>
фашизмыг	фашизм <acc>
роботоор	робот <ins>
ачлалаар	ачлал <ins>
төвлөрлийн	төвлөрөл <gen>
нүдээ	нүд <voc>
ялгааны	ялгаа <gen>
халамжид	халамж <dat>
идэгдлийг	идэгдэл <acc>
зааварчилгаагаар	зааварчилгаа <ins>
билетийн	билет <gen>
гэрчтэй	гэрч <com>
зулайг	зулай <acc>
эмээр	эм <ins>
тактикийн	тактик <gen>
маслоны	масло <gen>
вирусний	вирус <gen>
мөсөнд	мөс <dat>
ястнаа	ястан <voc>
үнэрээс	үнэр <abl>
шаазантай	шаазан <com>
захианаас	захиа <abl>
цэрдээр	цэрд <ins>
ганцаардлыг	ганцаардал <acc>
дэлхийг	дэлхий <acc>
эринээ	эрин <voc>
зохиомжийг	зохиомж <acc>
шандаснаас	шандас <abl>
муураар	муур <ins>
довтолгоогоо	довтолгоо <voc>
капитализмд	капитализм <dat>
чимэглэлтэй	чимэглэл <com>
ууршилтаар	ууршилт <ins>
уурхайчинтай	уурхайчин <com>
түвшинд	түвшин <dat>
тэнгистэй	тэнгис <com>
хүрээний	хүрээ <gen>
дээсээ	дээс <voc>
тамганы	тамга <gen>
төлөөлөгчид	төлөөлөгч <dat>
уралдаанаас	уралдаан <abl>
алхаанаас	алхаа <abl>
мөнхөөр	мөнх <ins>
нумтай	нум <com>
хамтатгалаа	хамтатгал <voc>
байршлыг	байршил <acc>
тохиролцоогоо	тохиролцоо <voc>
эцэгт	эцэг <dat>
бөмбөгөөр	бөмбөг <ins>
төвлөрүүлэлтийг	төвлөрүүлэлт <acc>
сүмийн	сүм <gen>
чөтгөрт	чөтгөр <dat>
хорвоогоос	хорвоо <abl>
зэсээс	зэс <abl>
моодоо	моод <voc>
хэмжигдэхүүнээ	хэмжигдэхүүн <voc>
харьцууллаа	харьцуулал <voc>
шоглоомд	шоглоом <dat>
харааны	хараа <gen>
гоёлтой	гоёл <com>
хучлагад	хучлага <dat>
хигээсийг	хигээс <acc>
илээр	ил <ins>
хэлний	хэл <gen>
яамнаас	яам <abl>
хаалгачтай	хаалгач <com>
өвөөгөөс	өвөө <abl>
үлгэрийн	үлгэр <gen>
цэцгийн	цэцэг <gen>
өвийг	өв <acc>
зэрэглэлд	зэрэглэл <dat>
шалгалтаа	шалгалт <voc>
барилдлагад	барилдлага <dat>
долгиотой	долгио <com>
захиалагчид	захиалагч <dat>
айдсыг	айдас <acc>
аялагчаас	аялагч <abl>
андгайгаар	андгай <ins>
чимхүүрээс	чимхүүр <abl>
үеэлээс	үеэл <abl>
хүчирхийллээс	хүчирхийлэл <abl>
анхааруулгаар	анхааруулга <ins>
батганы	батга <gen>
ялагдалд	ялагдал <dat>
нимбэгээ	нимбэг <voc>
барилгатай	барилга <com>
гортигоо	гортиг <voc>
хэрсүүгээ	хэрсүү <voc>
ширгийн	ширэг <gen>
шуудуугаар	шуудуу <ins>
хязгаарлалтад	хязгаарлалт <dat>
өдрөөр	өдөр <ins>
сургаалыг	сургаал <acc>
хүчний	хүч <gen>
мөлжлөгөөс	мөлжлөг <abl>
бэлгээ	бэлэг <voc>
оёдолчныг	оёдолчин <acc>
өдөөр	өд <ins>
үрлээр	үрэл <ins>
хүүрнэлээс	хүүрнэл <abl>
хийсвэрлэлтэй	хийсвэрлэл <com>
бөндгөрөөс	бөндгөр <abl>
ховооны	ховоо <gen>
уянгаа	уянга <voc>
тамхинд	тамхи <dat>
удирдлагаа	удирдлага <voc>
бурхнаас	бурхан <abl>
маргаанаа	маргаан <voc>
ходоодноос	ходоод <abl>
босуулын	босуул <gen>
хурандаагийн	хурандаа <gen>
егөөнөөс	егөө <abl>
системд	систем <dat>
бөмбөрцгөө	бөмбөрцөг <voc>
төгсөгчид	төгсөгч <dat>
бялуунд	бялуу <dat>
циркээс	цирк <abl>
хорголжид	хорголж <dat>
сургалтыг	сургалт <acc>
кофейнтой	кофейн <com>
эмээс	эм <abl>
бондод	бонд <dat>
уранд	уран <dat>
солилцоогоо	солилцоо <voc>
бөмбөрцөгтэй	бөмбөрцөг <com>
цусыг	цус <acc>
атираанд	атираа <dat>
хичээлийг	хичээл <acc>
хямдралаас	хямдрал <abl>
пуужингаар	пуужин <ins>
хүндэтгэлээ	хүндэтгэл <voc>
цамцнаас	цамц <abl>
сурталчилгаатай	сурталчилгааны <com>
харьяаллаас	харьяалал <abl>
сонсогчийн	сонсогч <gen>
гарлын	гарал <gen>
шатны	шат <gen>
бадгаа	бадаг <voc>
илэрхийллийн	илэрхийлэл <gen>
таамгийг	таамаг <acc>
өвлөө	өвөл <voc>
зугаагаар	зугаа <ins>
дадлагаар	дадлага <ins>
цуглуулагчид	цуглуулагч <dat>
үүргээ	үүрэг <voc>
духаа	дух <voc>
дугтуйгаа	дугтуй <voc>
дилерээр	дилер <ins>
хөлслөгчөөр	хөлслөгч <ins>
чичиргээг	чичиргээ <acc>
бүргэдээс	бүргэд <abl>
банзанд	банз <dat>
эвлэрлээс	эвлэрэл <abl>
байшингийн	байшин <gen>
гөлөгний	гөлөг <gen>
этгээдийг	этгээд <acc>
жүжигчнээ	жүжигчин <voc>
рационализмаа	рационализм <voc>
хөдөлгүүртэй	хөдөлгүүр <com>
зураглаачаас	зураглаач <abl>
хайрсны	хайрс <gen>
ирмэгээр	ирмэг <ins>
шившгийн	шившиг <gen>
тэгээр	тэг <ins>
мөрдлөгийг	мөрдлөг <acc>
тэрслэгчийн	тэрслэгч <gen>
вальсыг	вальс <acc>
майханд	майхан <dat>
хатуулгатай	хатуулга <com>
магтаалд	магтаал <dat>
ерөнхийлөгчийг	ерөнхийлөгч <acc>
чагнаалыг	чагнаал <acc>
зөөгчтэй	зөөгч <com>
хүлээсээс	хүлээс <abl>
урилгаас	урилга <abl>
угсралтаас	угсралт <abl>
шоргоолжноос	шоргоолж <abl>
хувьтай	хувь <com>
трамвайтай	трамвай <com>
зэмлэлийн	зэмлэл <gen>
хүчлээр	хүчил <ins>
нөлөөг	нөлөө <acc>
тавилгыг	тавилга <acc>
дурны	дураараа <gen>
биетэй	бие <com>
удамшлаас	удамшил <abl>
хугацааны	хугацаа <gen>
огтлолцолтой	огтлолцол <com>
үрлэгт	үрлэг <dat>
сониныг	сонин <acc>
ятгалгын	ятгалга <gen>
халимаас	халим <abl>
цуурганаас	цуурга <abl>
үерт	үер <dat>
хагацалд	хагацал <dat>
дуулиа	дууль <voc>
үнэрийн	үнэр <gen>
лавлагаагаар	лавлагаа <ins>
таргыг	тарга <acc>
тамхиар	тамхи <ins>
шүлсэвчтэй	шүлсэвч <com>
өөхөнд	өөх <dat>
тохиргоогоо	тохиргоо <voc>
сэтгүүлд	сэтгүүл <dat>
сүлбэлдээнээс	сүлбэлдээн <abl>
намтраар	намтар <ins>
удирдамжийн	удирдамж <gen>
прокурорын	прокурор <gen>
чидунаас	чидун <abl>
булчинд	булчин <dat>
циклээс	цикл <abl>
цуглуулагчтай	цуглуулагч <com>
жараахайнаас	жараахай <abl>
шуудуунд	шуудуу <dat>
кредитээр	кредит <ins>
зүхлийн	зүхэл <gen>
тохижуулалтыг	тохижуулалт <acc>
дэнсэнд	дэнс <dat>
галууг	галуу <acc>
диаграммаа	диаграмм <voc>
тавиуртай	тавиур <com>
баривчилгааг	баривчилгаа <acc>
жаягтай	жаяг <com>
шүүгээнээс	шүүгээ <abl>
дэлгэрэлтээс	дэлгэрэлт <abl>
бодлоо	бодол <voc>
бүртгэлтэй	бүртгэл <com>
туйлаас	туйлын <abl>
үүсвэрт	үүсвэр <dat>
цэгийн	цэг <gen>
гаансанд	гаанс <dat>
зотонг	зотон <acc>
мэргэжилтнийг	мэргэжилтэн <acc>
шургаас	шураг <abl>
зохиолд	зохиол <dat>
аймагт	аймаг <dat>
симфонид	симфони <dat>
нуурын	нуур <gen>
зүтгэлийг	зүтгэл <acc>
хийлчээс	хийлч <abl>
социализмтай	социализм <com>
хожуулаас	хожуул <abl>
шургуулгаар	шургуулга <ins>
аргаа	арга <voc>
шүүхийг	шүүх <acc>
найрамдлаас	найрамдал <abl>
үйлчлэгчээр	үйлчлэгч <ins>
бонусаас	бонус <abl>
замаа	зам <voc>
тэмдгээ	тэмдэг <voc>
олсоор	олс <ins>
үгүйсгэлээс	үгүйсгэл <abl>
хорголжоос	хорголж <abl>
толгойлогчоос	толгойлогч <abl>
хэмжигдэхүүнээр	хэмжигдэхүүн <ins>
фракцыг	фракц <acc>
моодоор	моод <ins>
арлын	арал <gen>
амжилтад	амжилт <dat>
худалдагчтай	худалдагч <com>
олборлолтоо	олборлолт <voc>
дамжуулагчаа	дамжуулагч <voc>
бүйлсний	бүйлс <gen>
дуализмаа	дуализм <voc>
мөхлийн	мөхөл <gen>
яншуйтай	яншуй <com>
цохиогоо	цохио <voc>
ханцуйгаар	ханцуй <ins>
инээдмийн	инээдэм <gen>
хавчлагад	хавчлага <dat>
жимсийг	жимс <acc>
хучлагыг	хучлага <acc>
тавилангаас	тавилан <abl>
цэнэглэгчтэй	цэнэглэгч <com>
шүлттэй	шүлт <com>
арилжаанаас	арилжаа <abl>
зайрмагийг	зайрмаг <acc>
гавлын	гавал <gen>
гудамжийг	гудамж <acc>
майонезын	майонез <gen>
эмээлд	эмээл <dat>
агуулахыг	агуулах <acc>
далайцыг	далайц <acc>
огторгуйд	огторгуй <dat>
цагдааг	цагдаа <acc>
үйлдлээ	үйлдэл <voc>
зөөгчөөр	зөөгч <ins>
хацрыг	хацар <acc>
нэмэгдлээс	нэмэгдэл <abl>
тэжээлээ	тэжээл <voc>
талийгчид	талийгч <dat>
бамбартай	бамбар <com>
шаналгаагаа	шаналгаа <voc>
шүлсэвчийн	шүлсэвч <gen>
төмсөнд	төмс <dat>
хамтрагчаас	хамтрагч <abl>
нээлтийн	нээлт <gen>
цээжинд	цээж <dat>
бичээсээ	бичээс <voc>
галзуурлаа	галзуурал <voc>
гадраас	гадар <abl>
хөнөөлтэй	хөнөөл <com>
эргэлзээгээр	эргэлзээ <ins>
цоглогоор	цоглог <ins>
шинжийн	шинж <gen>
шүршигчтэй	шүршигч <com>
тайтгарлыг	тайтгарал <acc>
үзэмжтэй	үзэмж <com>
аялгаас	аялга <abl>
хуваагдагчтай	хуваагдагч <com>
сампинд	сампин <dat>
тэмдэглэгээтэй	тэмдэглэгээ <com>
шаталтаар	шаталт <ins>
донгоор	дон <ins>
зууштай	зууш <com>
бүтээлээс	бүтээл <abl>
аянгын	аянга <gen>
хасагдагчаар	хасагдагч <ins>
мастераас	мастер <abl>
багажаас	багаж <abl>
тэгийн	тэг <gen>
услагчийг	услагч <acc>
хашилтыг	хашилт <acc>
тоормосонд	тоормос <dat>
алганы	алга <gen>
ёзоороос	ёзоор <abl>
шүүлтийг	шүүлт <acc>
гэрэлтүүлэгтэй	гэрэлтүүлэг <com>
итгэлтэй	итгэл <com>
жараахайн	жараахай <gen>
гэгээрэлд	гэгээрэл <dat>
даргаар	дарга <ins>
хальсаа	хальс <voc>
алдартанд	алдартан <dat>
доромжлолын	доромжлол <gen>
тунхаглалтай	тунхаглал <com>
ээлжийг	ээлж <acc>
дэвтэртэй	дэвтэр <com>
цэврүүтэй	цэврүү <com>
шүгэлд	шүгэл <dat>
тариачны	тариачин <gen>
самуунд	самуун <dat>
доргиог	доргио <acc>
тэрслэгчээ	тэрслэгч <voc>
түрээсээс	түрээс <abl>
загатнаатай	загатнаа <com>
дөнжөөр	дөнжөө <ins>
сонины	сонин <gen>
батжилтад	батжилт <dat>
тэнхлэгээс	тэнхлэг <abl>
адтай	ад <com>
түгжээгээр	түгжээ <ins>
доголдолд	доголдол <dat>
эгнээг	эгнээ <acc>
дүүргэлтээ	дүүргэлт <voc>
галлалтыг	галлалт <acc>
ажиллагааны	ажиллагаа <gen>
огтлоосоо	огтлоос <voc>
худагтай	худаг <com>
түйвээнтэй	түйвээн <com>
алгаа	алга <voc>
засалтаар	засалт <ins>
мэнгээ	мэнгэ <voc>
залилангийн	залилан <gen>
хагацлаа	хагацал <voc>
шалтгаантай	шалтгаан <com>
авснаас	авс <abl>
хэвшлээр	хэвшил <ins>
дадлаар	дадал <ins>
удирдагчийг	удирдагч <acc>
цэвэрлэгээнээс	цэвэрлэгээ <abl>
гургуулаар	гургуул <ins>
гахиуртай	гахиур <com>
ирцийг	ирц <acc>
тэрэгтэй	тэрэг <com>
алгаар	алга <ins>
зоригоос	зориг <abl>
хуурайнаас	хуурай <abl>
асуултыг	асуулт <acc>
лампыг	ламп <acc>
олтригоор	олтриг <ins>
хүрээнд	хүрээ <dat>
бөглөрлөөр	бөглөрөл <ins>
мангасаар	мангас <ins>
өнгөө	өнгө <voc>
бадминтоны	бадминтон <gen>
пүршийг	пүрш <acc>
жуулчнаар	жуулчин <ins>
тогоочийг	тогооч <acc>
нийтлэлээр	нийтлэл <ins>
дуунд	дуу <dat>
ууршилтад	ууршилт <dat>
гадаргаас	гадарга <abl>
гортигоор	гортиг <ins>
жүржээр	жүрж <ins>
хамелеонд	хамелеон <dat>
мэнгээр	мэнгэ <ins>
утгын	утга <gen>
тэгшитгэлээр	тэгшитгэл <ins>
зүйрлэлийг	зүйрлэл <acc>
хойгт	хойг <dat>
илтгэлтэй	илтгэл <com>
мөчлөгийг	мөчлөг <acc>
зангаанаас	зангаа <abl>
худалдаачнаар	худалдаачин <ins>
чанарыг	чанар <acc>
жигшлийг	жигшил <acc>
ахлагчийн	ахлагч <gen>
гаанстай	гаанс <com>
дэвтрээ	дэвтэр <voc>
харилцаанаас	харилцаа <abl>
хүндлэлд	хүндлэл <dat>
мангасыг	мангас <acc>
тулаантай	тулаан <com>
ажиглагчид	ажиглагч <dat>
томьёоны	томьёо <gen>
авианы	авиа <gen>
хэлэхүйгээс	хэлэхүй <abl>
гацуурын	гацуур <gen>
студийн	студи <gen>
илгээмжээс	илгээмж <abl>
тохируулгаас	тохируулга <abl>
томьёогоо	томьёо <voc>
командлагчийг	командлагч <acc>
хэсгийг	хэсэг <acc>
шуудайтай	шуудай <com>
шүрээс	шүр <abl>
дэлгэцээ	дэлгэц <voc>
нүхээс	нүх <abl>
төлгөөр	төлөг <ins>
тогтолцоонд	тогтолцоо <dat>
цалингаа	цалин <voc>
эрхэст	эрхэс <dat>
үүргээр	үүрэг <ins>
хамгаалагчтай	хамгаалагч <com>
хориогоо	хорио <voc>
шүлсээр	шүлс <ins>
гуйлгачинтай	гуйлгачин <com>
жүчээнээс	жүчээ <abl>
обойгоор	обой <ins>
доллароо	доллар <voc>
аялгуутай	аялгуу <com>
зүүдийг	зүүд <acc>
ёзоороо	ёзоор <voc>
тооцоололд	тооцоолол <dat>
тууралтаар	тууралт <ins>
өндөгнөөс	өндөг <abl>
гаргалтаар	гаргалт <ins>
фашизмд	фашизм <dat>
машинаа	машин <voc>
үйлдвэрээс	үйлдвэр <abl>
бохиноос	бохь <abl>
организмоор	организм <ins>
хэмнэлтээр	хэмнэлт <ins>
зорилтоос	зорилт <abl>
дэвүүрт	дэвүүр <dat>
урхины	урхи <gen>
мэдүүлэгтэй	мэдүүлэг <com>
үеэлд	үеэл <dat>
худалдаагаа	худалдаа <voc>
эрэлтийг	эрэлт <acc>
бохио	бохь <voc>
дасгалд	дасгал <dat>
ширээсийг	ширээс <acc>
ногдолтой	ногдол <com>
гадуурхлаар	гадуурхал <ins>
багтраанд	багтраа <dat>
шөнийг	шөнө <acc>
зураглаачтай	зураглаач <com>
продакшнаас	продакшн <abl>
дэмжлэгээр	дэмжлэг <ins>
нойроо	нойр <voc>
заламгайтай	заламгай <com>
сүүдрэвчээр	сүүдрэвч <ins>
зэрэглээтэй	зэрэглээ <com>
голоор	голд <ins>
цайзтай	цайз <com>
донгоо	дон <voc>
мөнгөтэй	мөнгө <com>
нийгэмлэгийг	нийгэмлэг <acc>
дайнд	дайн <dat>
өмхийийн	өмхий <gen>
ногтонд	ногт <dat>
бэрээс	бэр <abl>
шивнээнээс	шивнээ <abl>
эвдрэлийг	эвдрэл <acc>
үечлэлээс	үечлэл <abl>
төлөгчтэй	төлөгч <com>
цээрээ	цээр <voc>
аммиакт	аммиак <dat>
ёсолгоогоо	ёсолгоо <voc>
үүсвэртэй	үүсвэр <com>
мэхлэлтийг	мэхлэлт <acc>
оюутантай	оюутан <com>
нийлбэрийг	нийлбэр <acc>
барааг	бараа <acc>
төрлийг	төрөл <acc>
цомыг	цом <acc>
мушгиагаар	мушгиа <ins>
даамжралын	даамжрал <gen>
өвгөний	өвгөн <gen>
моодонд	моод <dat>
интернэтээс	интернет <abl>
сүүдрэвчнээс	сүүдрэвч <abl>
хараалаар	хараал <ins>
боломжийг	боломж <acc>
бодолтын	бодолт <gen>
арслангийн	арслан <gen>
үйлдэлд	үйлдэл <dat>
графикаа	график <voc>
бамбарын	бамбар <gen>
горьдлогод	горьдлого <dat>
халдлагыг	халдлага <acc>
залуурыг	залуур <acc>
хонготой	хонго <com>
иллэгээр	иллэг <ins>
залгамжлагчийг	залгамжлагч <acc>
тооцооллоо	тооцоолол <voc>
хурдыг	хурд <acc>
янзад	янз <dat>
дэнгээр	дэн <ins>
гургуулд	гургуул <dat>
бартаагаар	бартаа <ins>
зээлтэй	зээл <com>
акттай	акт <com>
цомын	цом <gen>
тасгийн	тасаг <gen>
тохуурхлаас	тохуурхал <abl>
эрхсээр	эрхэс <ins>
хаварт	хавар <dat>
соруулаар	соруул <ins>
театраас	театр <abl>
экологиор	экологи <ins>
хөлслөгчтэй	хөлслөгч <com>
өгүүлбэрийг	өгүүлбэр <acc>
аялгад	аялга <dat>
байдалтай	байдал <com>
дүгнэлтийн	дүгнэлт <gen>
хэрэгжилтээс	хэрэгжилт <abl>
загасчлалаар	загасчлал <ins>
алчуураа	алчуур <voc>
гэлэнмаагийн	гэлэнмаа <gen>
хуулиас	хууль <abl>
нэмэгдлийг	нэмэгдэл <acc>
цэнгүүнд	цэнгүүн <dat>
тэмдэглэлээр	тэмдэглэл <ins>
инээмсэглэлийг	инээмсэглэл <acc>
гэдэстэй	гэдэс <com>
хошуучаар	хошууч <ins>
тогтворжилтын	тогтворжилт <gen>
гахиурыг	гахиур <acc>
нийлбэрээ	нийлбэр <voc>
хэвийг	хэв <acc>
зовлонгийн	зовлон <gen>
амлалтаар	амлалт <ins>
шаварт	шавар <dat>
үндсийг	үндэс <acc>
хүндтэй	хүнд <com>
идеализмаар	идеализм <ins>
бөөмийг	бөөм <acc>
тайлбарлагчийг	тайлбарлагч <acc>
статистикийн	статистик <gen>
уурхайчныг	уурхайчин <acc>
уялдаанаас	уялдаа <abl>
эрэмбийг	эрэмбэ <acc>
хамелеоны	хамелеон <gen>
археологио	археологи <voc>
шүүдрээс	шүүдэр <abl>
даамжралыг	даамжрал <acc>
хучлагаар	хучлага <ins>
гийгүүлэгчид	гийгүүлэгч <dat>
уланд	ул <dat>
дуслаа	дусал <voc>
тэнцвэрийн	тэнцвэр <gen>
төсөлд	төсөл <dat>
зэвүүцлийг	зэвүүцэл <acc>
дэвүүрийг	дэвүүр <acc>
тохуурхлаар	тохуурхал <ins>
чадвараас	чадвар <abl>
хэцийн	хэц <gen>
микробиологитой	микробиологи <com>
агаараар	агаар <ins>
нийлэмжид	нийлэмж <dat>
хөтлөгчөө	хөтлөгч <voc>
гохыг	гох <acc>
шандасны	шандас <gen>
загасаа	загас <voc>
адаа	ад <voc>
гудасанд	гудас <dat>
сүргийг	сүрэг <acc>
хондлойн	хондлой <gen>
тоосгоор	тоосго <ins>
идэгдлээр	идэгдэл <ins>
зайрмагт	зайрмаг <dat>
ястай	яс <com>
бассейнтай	бассейн <com>
нуурыг	нуур <acc>
арслангаар	арслан <ins>
цэцэглэлтээс	цэцэглэлт <abl>
нийлэмжээр	нийлэмж <ins>
шатаагчид	шатаагч <dat>
нягтшилд	нягтшил <dat>
асуудлаар	асуудал <ins>
залийг	заль <acc>
гогцоогоор	гогцоо <ins>
отрядын	отряд <gen>
тактикийг	тактик <acc>
нийцлээр	нийцэл <ins>
хоншоортой	хоншоор <com>
онолчоор	онолч <ins>
туслалцаагаар	туслалцаа <ins>
эхээр	эх <ins>
найрууламжаа	найрууламж <voc>
фонтоо	фонт <voc>
чулуунд	чулуу <dat>
хүүрнэлийг	хүүрнэл <acc>
цуваагаа	цуваа <voc>
агааржуулагчаа	агааржуулагч <voc>
танилцуулгад	танилцуулга <dat>
удирдлагыг	удирдлага <acc>
бариулаас	бариул <abl>
хувийн	хувь <gen>
химийг	хими <acc>
хөвгүүнд	хөвгүүн <dat>
эндүүрлээс	эндүүрэл <abl>
байдалд	байдал <dat>
намагт	намаг <dat>
тавилгаа	тавилга <voc>
хоригтой	хориг <com>
хулмасыг	хулмас <acc>
элементээр	элемент <ins>
театртай	театр <com>
зовлонг	зовлон <acc>
айзамд	айзам <dat>
гашуудлаас	гашуудал <abl>
бохиор	бохь <ins>
үрлэгийн	үрлэг <gen>
туслагчаас	туслагч <abl>
ташууртай	ташуур <com>
асуултын	асуулт <gen>
чөлөөгөөр	чөлөө <ins>
уцаарыг	уцаар <acc>
дэлгэцтэй	дэлгэц <com>
жоотуугаар	жоотуу <ins>
овгоор	овог <ins>
драмтай	драм <com>
тэмдгээр	тэмдэг <ins>
судлагчийн	судлагч <gen>
азотод	азот <dat>
самбарын	самбар <gen>
багтаамжид	багтаамж <dat>
тороор	торт <ins>
чимхүүрийг	чимхүүр <acc>
шургийг	шураг <acc>
чадвараар	чадвар <ins>
тусгаарлалттай	тусгаарлалт <com>
дүнгийн	дүн <gen>
эрхлэгчээс	эрхлэгч <abl>
эврийн	эвэр <gen>
хөргүүрийн	хөргүүр <gen>
кодыг	код <acc>
үзэгдлээс	үзэгдэл <abl>
чангарлаа	чангарал <voc>
үүсэлтэй	үүсэл <com>
рационализмаар	рационализм <ins>
баатарт	баатар <dat>
залгааны	залгаа <gen>
хүрхрээнээс	хүрхрээ <abl>
амьсгалаа	амьсгал <voc>
бэрхшээлээр	бэрхшээл <ins>
гарзаар	гарз <ins>
хуульчид	хуульч <dat>
өвчтөний	өвчтөн <gen>
томьёонд	томьёо <dat>
заагаар	зааг <ins>
туршлагаар	туршлага <ins>
хадгалалтаа	хадгалалт <voc>
хатаагчийг	хатаагч <acc>
хормойтой	хормой <com>
захиагаа	захиа <voc>
бөглөөний	бөглөө <gen>
гадилд	гадил <dat>
хөрөнгөтнийг	хөрөнгөтөн <acc>
дүүргэлтийн	дүүргэлт <gen>
эндүүрлээр	эндүүрэл <ins>
тоглоомоор	тоглоом <ins>
ололттой	ололт <com>
тохуунд	тохуу <dat>
өрний	өр <gen>
эрсдэлээс	эрсдэл <abl>
амьдчиллаа	амьдчилал <voc>
багцааны	багцаа <gen>
шивэгчнийг	шивэгчин <acc>
тамхиа	тамхи <voc>
сэжүүрээс	сэжүүр <abl>
хормойд	хормой <dat>
цэцэглэлтийн	цэцэглэлт <gen>
хөдөлгөгчид	хөдөлгөгч <dat>
өтгөнөөр	өтгөн <ins>
хариугаа	хариу <voc>
наадгайд	наадгай <dat>
архитай	архи <com>
